age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
(33.5-41.5],State-gov,(-inf-106068.5],Bachelors,(10.5-13.5],Never-married,Adm-clerical,Not-in-family,White,Male,(57-3368],(-inf-77.5],(39.5-40.5],United-States,-50K
(41.5-50.5],Self-emp-not-inc,(-inf-106068.5],Bachelors,(10.5-13.5],Married-civ-spouse,Exec-managerial,Husband,White,Male,(-inf-57],(-inf-77.5],(-inf-35.5],United-States,-50K
(33.5-41.5],Private,(196318-260259.5],HS-grad,(8.5-9.5],Divorced,Handlers-cleaners,Not-in-family,White,Male,(-inf-57],(-inf-77.5],(39.5-40.5],United-States,-50K
(50.5-inf),Private,(196318-260259.5],11th,(-inf-8.5],Married-civ-spouse,Handlers-cleaners,Husband,NonWhite,Male,(-inf-57],(-inf-77.5],(39.5-40.5],United-States,-50K
(25.5-33.5],Private,(260259.5-inf),Bachelors,(10.5-13.5],Married-civ-spouse,Prof-specialty,Wife,NonWhite,Female,(-inf-57],(-inf-77.5],(39.5-40.5],Cuba,-50K
(33.5-41.5],Private,(260259.5-inf),Masters,(13.5-inf),Married-civ-spouse,Exec-managerial,Wife,White,Female,(-inf-57],(-inf-77.5],(39.5-40.5],United-States,-50K
(41.5-50.5],Private,(157936.5-196318],9th,(-inf-8.5],Married-spouse-absent,Other-service,Not-in-family,NonWhite,Female,(-inf-57],(-inf-77.5],(-inf-35.5],Jamaica,-50K
(50.5-inf),Self-emp-not-inc,(196318-260259.5],HS-grad,(8.5-9.5],Married-civ-spouse,Exec-managerial,Husband,White,Male,(-inf-57],(-inf-77.5],(40.5-50.5],United-States,+50K
(25.5-33.5],Private,(-inf-106068.5],Masters,(13.5-inf),Never-married,Prof-specialty,Not-in-family,White,Female,(12614-inf),(-inf-77.5],(40.5-50.5],United-States,+50K
(41.5-50.5],Private,(157936.5-196318],Bachelors,(10.5-13.5],Married-civ-spouse,Exec-managerial,Husband,White,Male,(3368-7280],(-inf-77.5],(39.5-40.5],United-States,+50K
